cluster_id,catalog,ra_deg,dec_deg,z,M500c_Msun,M500c_method,R500c_Mpc,TX_keV,Mgas_Msun,Y500_arcmin2,ICM_proxy_type,Ethermal_c2_Msun,dynamical_state,merger_exclusion_flag,merger_exclusion_reason,source_url
J0034.2-0204,MCXC-I,8.557916666666666,-2.075277777777778,0.0822,2.193e+14,X-ray_Lx_scaling,0.8933,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0034.6-0208,MCXC-I,8.649999999999999,-2.14,0.0812,2.2202001e+14,X-ray_Lx_scaling,0.8972,,,0.007720203,Y_SZ_derived_LCDM,456121861.48145217,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0035.4-2015,MCXC-I,8.859166666666667,-20.262777777777778,0.352,1.02e+15,X-ray_Lx_scaling,1.35,,,0.002480505,Y_SZ_derived_LCDM,1531563158.7814271,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0035.9+8513,MCXC-I,8.997083333333332,85.2213888888889,0.8317,2.1397e+14,X-ray_Lx_scaling,0.6659,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0036.5+2544,MCXC-I,9.149166666666664,25.74388888888889,0.0341,4.869e+13,X-ray_Lx_scaling,0.5493,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0037.0+0909,MCXC-I,9.272083333333333,9.153055555555556,0.2546,5.9801004e+14,X-ray_Lx_scaling,1.1755,,,0.002157172,Y_SZ_derived_LCDM,852120591.1333247,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0037.4-2831,MCXC-I,9.362499999999999,-28.53111111111111,0.105,1.3146e+14,X-ray_Lx_scaling,0.7476,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0039.6+2114,MCXC-I,9.899999999999999,21.23888888888889,0.0619,7.517e+13,X-ray_Lx_scaling,0.6292,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0040.0+0649,MCXC-I,10.002083333333331,6.8180555555555555,0.0395,9.933e+13,X-ray_Lx_scaling,0.6954,,,0.012772136,Y_SZ_derived_LCDM,197114343.2588957,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0040.1-5607,MCXC-I,10.02708333333333,-56.11666666666667,0.0277,4.058e+13,X-ray_Lx_scaling,0.5179,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0040.4+2933,MCXC-I,10.114166666666666,29.559444444444445,0.0712,1.8872e+14,X-ray_Lx_scaling,0.8527,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0041.1-2339,MCXC-I,10.292916666666665,-23.659166666666664,0.112,3.13e+13,X-ray_Lx_scaling,0.4623,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0041.7+2124,MCXC-I,10.44625,21.413888888888888,0.1014,1.9071e+14,X-ray_Lx_scaling,0.8473,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0041.8-0918,MCXC-I,10.458749999999998,-9.301944444444445,0.0555,5.3162998e+14,X-ray_Lx_scaling,1.2103,,,0.030782677,Y_SZ_derived_LCDM,902710914.0877932,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0042.1-2832,MCXC-I,10.536249999999997,-28.535833333333336,0.1082,3.5046e+14,X-ray_Lx_scaling,1.0355,,,0.003642093,Y_SZ_derived_LCDM,358880054.6670903,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0043.4-2037,MCXC-I,10.851666666666665,-20.62138888888889,0.2924,5.3663002e+14,X-ray_Lx_scaling,1.1182,,,0.002539772,Y_SZ_derived_LCDM,1222414914.1164427,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0043.8+2424,MCXC-I,10.967083333333331,24.401944444444442,0.083,2.8014e+14,X-ray_Lx_scaling,0.969,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0045.3-2924,MCXC-I,11.328333333333331,-29.400555555555552,0.257,1.6259e+14,X-ray_Lx_scaling,0.7609,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0045.7-2515,MCXC-I,11.437916666666666,-25.261666666666667,0.112,8.427e+13,X-ray_Lx_scaling,0.6431,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0046.3+8530,MCXC-I,11.580833333333333,85.51583333333333,0.6241,2.6212001e+14,X-ray_Lx_scaling,0.7739,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0048.6-2114,MCXC-I,12.158333333333333,-21.247222222222224,0.0581,9.497e+13,X-ray_Lx_scaling,0.6811,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0049.4-2931,MCXC-I,12.35,-29.524444444444445,0.1084,2.3682e+14,X-ray_Lx_scaling,0.9086,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0049.8+2426,MCXC-I,12.45208333333333,24.441111111111113,0.0815,1.9841e+14,X-ray_Lx_scaling,0.8641,,,0.002847768,Y_SZ_derived_LCDM,169377308.74429357,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
