psz2_name,ra_deg,dec_deg,z,sigma_v,M500_dyn,name_norm,TX_keV,R500_arcmin,sigma_v_m_s,Ti_from_sigma,Ti_from_TX,Ti_best
PSZ2 G107.10+65.32,203.16230773926,50.55841827393,0.27765379600791085,1489.7504066338915,2379174694835512.0,PSZ2G107.10+65.32,,,1489750.4066338916,88003938101.36478,,88003938101.36478
PSZ2 G111.61-45.71,4.63969802856,16.43647766113,0.5472165039428165,1819.3932534919657,3530217535438012.5,PSZ2G111.61-45.71,,,1819393.2534919656,194761619605.55536,,194761619605.55536
PSZ2 G111.75+70.37,198.27841186523,46.29053115845,0.18078804031677354,690.1725530558947,243727872558976.38,PSZ2G111.75+70.37,,,690172.5530558947,1934948077.4556208,,1934948077.4556208
PSZ2 G113.29-29.69,2.93993067741,32.41486740112,0.10291094240536575,907.8004347813722,567402101543868.2,PSZ2G113.29-29.69,4.49,8.86,907800.4347813722,7793283273.353093,528621409.20142716,528621409.20142716
PSZ2 G113.91-37.01,4.92430257797,25.30128288269,0.36580698871706624,1192.8300742189997,1117655805408163.0,PSZ2G113.91-37.01,6.99,3.96,1192830.0742189996,26504156567.290333,1621036229.0787532,1621036229.0787532
PSZ2 G114.79-33.71,5.15414428711,28.66003227234,0.09439093569325796,938.8604669658853,639873693883530.8,PSZ2G114.79-33.71,4.78,10.2,938860.4669658853,9400373520.932602,634643183.4886714,634643183.4886714
PSZ2 G124.20-36.48,13.95979309082,26.40978240967,0.19216952599191664,1253.4753559347248,1493646592573624.2,PSZ2G124.20-36.48,,,1253475.355934725,39113637086.370346,,39113637086.370346
PSZ2 G143.26+65.24,179.80947875977,49.79475784302,0.34879525484897755,1062.7781882202107,815684305370252.5,PSZ2G143.26+65.24,,,1062778.1882202108,15355222753.918304,,15355222753.918304
PSZ2 G149.39-36.84,35.39331817627,21.36561775208,0.1697728300139369,906.7396061896892,587364100543603.2,PSZ2G149.39-36.84,,,906739.6061896892,8048618096.22482,,8048618096.22482
PSZ2 G159.91-73.50,22.9723033905,-13.61176967621,0.2089402996142953,1353.0863305509413,1804270340280937.8,PSZ2G159.91-73.50,,,1353086.3305509412,55055583887.37061,,55055583887.37061
PSZ2 G172.74+65.30,167.91593933105,40.83978271484,0.07535527112056113,708.6216405594022,282289342635422.94,PSZ2G172.74+65.30,,,708621.6405594022,2362501289.3456645,,2362501289.3456645
PSZ2 G172.98-53.55,39.9725112915,-1.57888174057,0.37402855820768766,1681.7747807567373,2503346740092350.5,PSZ2G172.98-53.55,,,1681774.7807567373,118006364004.07181,,118006364004.07181
PSZ2 G179.09+60.12,160.18606567383,39.95293807983,0.13898733038755268,1157.4517904834668,1158657163941765.8,PSZ2G179.09+60.12,,,1157451.7904834668,25870780009.681923,,25870780009.681923
PSZ2 G186.37+37.26,130.73809814453,36.36583709717,0.2818708637828917,1238.373501807946,1370065020848780.0,PSZ2G186.37+37.26,,,1238373.501807946,35018152467.10321,,35018152467.10321
PSZ2 G187.53+21.92,113.08461761475,31.63275527954,0.17057760169393707,853.6290773905695,477589289275045.0,PSZ2G187.53+21.92,,,853629.0773905695,5800183431.413949,,5800183431.413949
PSZ2 G192.18+56.12,154.09375,33.63870239258,0.1268044485653484,821.4664291503908,443293718000573.8,PSZ2G192.18+56.12,,,821466.4291503908,4985629095.507205,,4985629095.507205
PSZ2 G195.75-24.32,73.54094696045,2.92478466034,0.20058515463969306,1065.5679526865651,883364369671358.1,PSZ2G195.75-24.32,7.2,6.53,1065567.9526865652,16716714627.720222,1319714053.9438665,1319714053.9438665
PSZ2 G201.50-27.31,73.54563140869,-3.01485490799,0.5388123113003002,1343.8427350087773,1483866796275458.8,PSZ2G201.50-27.31,,,1343842.7350087774,44662246292.22581,,44662246292.22581
PSZ2 G204.10+16.51,113.946434021,15.11356258392,0.12077421206801778,876.813256005802,417969284011351.75,PSZ2G204.10+16.51,,,876813.2560058021,5355590110.193659,,5355590110.193659
PSZ2 G205.93-39.46,64.39479827881,-11.90927028656,0.44056497512754406,1460.0174454751464,2034200612207509.0,PSZ2G205.93-39.46,,,1460017.4454751464,72270094156.35994,,72270094156.35994
PSZ2 G206.45+13.89,112.46202850342,11.94125652313,0.40540128078265836,1571.9441291420253,2460538852283630.0,PSZ2G206.45+13.89,,,1571944.1291420253,101333533959.0681,,101333533959.0681
PSZ2 G207.88+81.31,183.07629394531,27.54845046997,0.356352880299384,916.8095805889556,476915639494013.2,PSZ2G207.88+81.31,7.01,4.09,916809.5805889555,6681109660.067494,693692580.6515056,693692580.6515056
PSZ2 G208.80-30.67,73.52780151367,-10.22024059296,0.24684273744659316,1241.9433799139113,1212910790946671.8,PSZ2G208.80-30.67,,,1241943.3799139112,31180365603.876057,,31180365603.876057
PSZ2 G216.62+47.00,147.46563720703,17.11959075928,0.3920209727134536,1550.2134081009137,2526344709676823.5,PSZ2G216.62+47.00,,,1550213.4081009137,101186910359.64735,,101186910359.64735
PSZ2 G217.09+40.15,141.02401733398,14.17364501953,0.13828893891172014,900.0567403185868,559945580069254.7,PSZ2G217.09+40.15,,,900056.7403185868,7560218505.698478,,7560218505.698478
PSZ2 G218.59+71.31,172.46827697754,23.81086730957,0.13697590120975894,528.6871158084957,123944467539736.47,PSZ2G218.59+71.31,,,528687.1158084957,577395439.2443246,,577395439.2443246
PSZ2 G218.81+35.51,137.30290222168,10.97514533997,0.17764944042994132,772.1583346334304,351848785856287.7,PSZ2G218.81+35.51,,,772158.3346334303,3496371193.6117463,,3496371193.6117463
PSZ2 G224.00+69.33,170.99179077148,21.48253440857,0.1917098136787683,1061.2428036908693,853535554521741.8,PSZ2G224.00+69.33,5.58,5.99,1061242.8036908694,16021378582.162663,988241943.8404458,988241943.8404458
PSZ2 G226.18+76.79,178.82427978516,23.40470123291,0.14128395652647,1063.9693450786172,850209812135326.0,PSZ2G226.18+76.79,,,1063969.345078617,16041061099.491722,,16041061099.491722
PSZ2 G228.16+75.20,177.3973236084,22.40272903442,0.5421990921341664,1513.66449374469,2000969259613370.8,PSZ2G228.16+75.20,,,1513664.49374469,76409685794.68645,,76409685794.68645
PSZ2 G229.74+77.96,180.31088256836,23.1079788208,0.26474524655381804,1199.2860451039535,1178576543713635.2,PSZ2G229.74+77.96,,,1199286.0451039535,28252189042.005577,,28252189042.005577
PSZ2 G238.69+63.26,168.22674560547,13.43461799622,0.1671392047893358,869.4342107421669,513101653724121.5,PSZ2G238.69+63.26,4.71,6.21,869434.2107421668,6464361184.564884,501454795.1696168,501454795.1696168
