cluster_id,catalog,ra_deg,dec_deg,z,M500c_Msun,M500c_method,R500c_Mpc
J1440.6+0328,MCXC-I,220.15916666666664,3.476388888888889,0.0263,7.352e+13,X-ray_Lx_scaling,0.6316
J1442.3+2218,MCXC-I,220.57666666666663,22.304722222222225,0.0901,2.3234e+14,X-ray_Lx_scaling,0.9083
J1444.1+6344,MCXC-I,221.0270833333333,63.748333333333335,0.298,1.2862e+14,X-ray_Lx_scaling,0.6931
J1444.3+3114,MCXC-I,221.0941666666666,31.235,0.234,3.5321e+14,X-ray_Lx_scaling,0.9937
J1447.4+0827,MCXC-I,221.85666666666665,8.46361111111111,0.1954,4.6039e+14,X-ray_Lx_scaling,1.1006
J1448.6-2749,MCXC-I,222.1508333333333,-27.819444444444443,0.175,1.33630005e+14,X-ray_Lx_scaling,0.734
J1451.1+1436,MCXC-I,222.77499999999998,14.61111111111111,0.146,3.2781e+14,X-ray_Lx_scaling,0.9998
J1451.2+1840,MCXC-I,222.82208333333332,18.683333333333334,0.0439,1.752e+13,X-ray_Lx_scaling,0.3895
J1452.9+5802,MCXC-I,223.23375,58.04888888888889,0.3179,5.8708e+14,X-ray_Lx_scaling,1.1412
J1452.9+1641,MCXC-I,223.24499999999998,16.699722222222224,0.0444,8.782e+13,X-ray_Lx_scaling,0.6664
J1453.1+2153,MCXC-I,223.27999999999997,21.89472222222222,0.1186,1.7512e+14,X-ray_Lx_scaling,0.8188
J1454.4+1622,MCXC-I,223.61666666666665,16.37027777777778,0.0456,4.614e+13,X-ray_Lx_scaling,0.5375
J1454.5+1838,MCXC-I,223.6308333333333,18.641944444444444,0.0586,1.6755e+14,X-ray_Lx_scaling,0.8228
J1455.2-3325,MCXC-I,223.80791666666664,-33.42666666666666,0.1158,2.2029e+14,X-ray_Lx_scaling,0.8848
J1456.2-3826,MCXC-I,224.05083333333332,-38.44,0.115,2.351e+14,X-ray_Lx_scaling,0.9044
J1456.2+2221,MCXC-I,224.06249999999997,22.353333333333335,0.108,7.253e+13,X-ray_Lx_scaling,0.6125
J1456.3-0549,MCXC-I,224.08166666666665,-5.8275,0.22,3.964e+14,X-ray_Lx_scaling,1.0379
J1457.2+2220,MCXC-I,224.31624999999994,22.343333333333334,0.2579,6.315e+14,X-ray_Lx_scaling,1.1956
J1459.0-0843,MCXC-I,224.7645833333333,-8.725,0.1043,1.9047e+14,X-ray_Lx_scaling,0.8461
J1459.4-1811,MCXC-I,224.87208333333328,-18.186944444444446,0.2357,8.618e+14,X-ray_Lx_scaling,1.337
